CODIGO,DESCRIPCION DEL ITEM,UNIDAD DE MEDIDA,PRECIO UNITARIO
20500010032,PIEDRA ESMERIL CIRCULAR 1 in X 1 in X 6 in GRANO GRUESO,UNIDAD,0.0
20500010035,PIEDRA ESMERIL CIRCULAR 7/8 in X 8 in GRANO FINO,UNIDAD,0.0
20500010037,PIEDRA ESMERIL CIRCULAR 1 in X 1 in X 6 in,UNIDAD,0.0
20500010049,PIEDRA ESMERIL CIRCULAR 3/4 in X 5/8 in X 6 in GRANO FINO,UNIDAD,0.0
22900020014,DISCO DE CORTE 7 in,UNIDAD,0.0
22900020056,DISCO DE DESBASTE 4 in,UNIDAD,0.0
22900020097,DISCO DE CORTE PARA METAL 7 in,UNIDAD,0.0
22900020098,DISCO DE CORTE DIAMANTADO 4.5 in,UNIDAD,0.0
22900020110,DISCO DE CORTE PARA FIERRO 4 1/2 in,UNIDAD,0.0
22900020111,DISCO DE CORTE PARA FIERRO 4 in,UNIDAD,0.0
22900020120,DISCO DIAMANTADO DE CORTE PARA CONCRETO 4 in X 1/2 in,UNIDAD,0.0
22900020125,DISCO DE CORTE PARA METAL 4 in,UNIDAD,0.0
22900020129,DISCO DE DESBASTE 4 1/2 in,UNIDAD,0.0
22900020132,DISCO DE CORTE PARA CONCRETO 4 in,UNIDAD,0.0
22900020133,DISCO DE CORTE DE ESMERIL 4 in,UNIDAD,0.0
22900020150,DISCO DE CORTE PARA MADERA 4 in,UNIDAD,0.0
22900020171,DISCO DE CORTE PARA FIERRO 14 in,UNIDAD,0.0
22900020184,DISCO DE CORTE PARA FIERRO 7 1/8 in,UNIDAD,0.0
22900020186,DISCO DIAMANTADO DE CORTE PARA CONCRETO 4 1/2 in,UNIDAD,0.0
22900020192,DISCO DE CORTE 1 mm X 4 in,UNIDAD,0.0
22900020198,DISCO DE CORTE PARA METAL 4 1/2 in X 7/8 in,UNIDAD,0.0
22900020234,DISCO DE CORTE DIAMANTADO 4 in,UNIDAD,0.0
22900020238,DISCO DE CORTE PARA FIERRO 1/4 in X 7/8 in X 4 1/2 in,UNIDAD,0.0
22900020337,DISCO DE CORTE DIAMANTADO PARA CONCRETO 4.5 in,UNIDAD,0.0
22900020338,DISCO DE CORTE DIAMANTADO PARA CONCRETO 7 in,UNIDAD,0.0
22900020341,DISCO DE DESBASTE 4 1/2 in X 7/8 in,UNIDAD,0.0
22900020349,DISCO DE CORTE DIAMANTADO CONTINUO PARA CERAMICA 4 1/2 in,UNIDAD,0.0
